epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,42.7914,1.26279,4.1633,1.44517,0.31431,0.20773,0.08924,0.06366,1.01888,3.33264,1.4365,0.00996564,0.00332188,0.00996564,0.00332188,0.00996564,0.00332188,0.00996564,0.00332188
2,73.0257,1.34525,3.38591,1.51046,0.20268,0.28877,0.17835,0.12272,1.14014,2.83693,1.54565,0.0199162,0.00663874,0.0199162,0.00663874,0.0199162,0.00663874,0.0199162,0.00663874
3,100.972,1.38997,3.04542,1.52038,0.1487,0.40153,0.19568,0.1195,1.23764,2.78885,1.62891,0.0298173,0.0099391,0.0298173,0.0099391,0.0298173,0.0099391,0.0298173,0.0099391
4,128.355,1.43269,2.96226,1.54628,0.23816,0.2906,0.1951,0.1349,1.23481,2.81698,1.61952,0.0297773,0.00992575,0.0297773,0.00992575,0.0297773,0.00992575,0.0297773,0.00992575
5,155.462,1.40495,2.89185,1.53521,0.28164,0.30952,0.27011,0.18412,1.16451,2.56663,1.56083,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
6,182.37,1.39582,2.72194,1.50535,0.35641,0.38658,0.33384,0.24034,1.17164,2.34126,1.55169,0.0296288,0.00987625,0.0296288,0.00987625,0.0296288,0.00987625,0.0296288,0.00987625
7,207.353,1.37773,2.66451,1.4938,0.2416,0.43506,0.29525,0.19896,1.14463,2.30896,1.53568,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
8,231.87,1.36779,2.54623,1.47846,0.243,0.45599,0.35609,0.25586,1.09872,2.20014,1.48288,0.0294802,0.00982675,0.0294802,0.00982675,0.0294802,0.00982675,0.0294802,0.00982675
9,256.854,1.34428,2.48912,1.46813,0.38474,0.50353,0.43491,0.31835,1.06784,2.02885,1.43142,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
10,281.257,1.33939,2.41778,1.45813,0.42859,0.4908,0.46093,0.34593,1.0624,1.91684,1.41516,0.0293318,0.00977725,0.0293318,0.00977725,0.0293318,0.00977725,0.0293318,0.00977725
11,308.018,1.32376,2.36967,1.44587,0.26545,0.54306,0.40643,0.29206,1.08498,2.01101,1.44516,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
12,335.232,1.32507,2.30972,1.44302,0.43034,0.50792,0.47909,0.36036,1.03758,1.88341,1.39838,0.0291833,0.00972775,0.0291833,0.00972775,0.0291833,0.00972775,0.0291833,0.00972775
13,361.258,1.31509,2.23087,1.42375,0.48652,0.45311,0.43983,0.32415,1.07137,1.90992,1.43059,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
14,388.672,1.31831,2.18201,1.43567,0.32196,0.52628,0.44699,0.32185,1.08732,1.94352,1.44137,0.0290348,0.00967825,0.0290348,0.00967825,0.0290348,0.00967825,0.0290348,0.00967825
15,416.296,1.28284,2.14862,1.4179,0.47384,0.5111,0.46614,0.33903,1.07485,1.94528,1.42252,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
16,443.948,1.30252,2.10169,1.416,0.50094,0.47985,0.47765,0.35472,1.0588,1.81039,1.41506,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875
17,472.608,1.28526,2.07521,1.40893,0.42996,0.53959,0.51085,0.38274,1.05725,1.78178,1.42926,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
18,498.793,1.27923,2.00969,1.40096,0.51717,0.42045,0.47054,0.35023,1.03539,1.76772,1.39527,0.0287377,0.00957925,0.0287377,0.00957925,0.0287377,0.00957925,0.0287377,0.00957925
19,523.174,1.26998,2.00063,1.40269,0.42519,0.55603,0.5201,0.39157,1.04207,1.70271,1.38405,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
20,547.278,1.25851,1.9524,1.38549,0.51068,0.50529,0.53019,0.39145,1.04976,1.66588,1.39302,0.0285893,0.00952975,0.0285893,0.00952975,0.0285893,0.00952975,0.0285893,0.00952975
21,571.205,1.27103,1.9591,1.39383,0.52948,0.53396,0.54624,0.41397,1.02027,1.58195,1.36572,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
22,595.391,1.25064,1.8959,1.38195,0.51473,0.48199,0.49679,0.37547,1.044,1.68653,1.38741,0.0284408,0.00948025,0.0284408,0.00948025,0.0284408,0.00948025,0.0284408,0.00948025
23,619.504,1.24545,1.87786,1.37797,0.49867,0.52758,0.51587,0.3863,1.01985,1.76307,1.38532,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
24,643.491,1.25571,1.84894,1.39111,0.4131,0.57968,0.5182,0.3964,1.01254,1.65538,1.36794,0.0282922,0.00943075,0.0282922,0.00943075,0.0282922,0.00943075,0.0282922,0.00943075
25,667.466,1.23766,1.83267,1.37395,0.57108,0.56269,0.57562,0.43087,1.01098,1.55284,1.36614,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
26,691.54,1.24032,1.79036,1.38154,0.52142,0.59968,0.58826,0.4442,1.0272,1.53753,1.37482,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125
27,715.536,1.2282,1.74179,1.36215,0.44806,0.56865,0.55255,0.42098,1.01361,1.59089,1.36736,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
28,740.871,1.23229,1.74749,1.36742,0.4196,0.57497,0.52618,0.4016,1.01784,1.59112,1.37129,0.0279952,0.00933175,0.0279952,0.00933175,0.0279952,0.00933175,0.0279952,0.00933175
29,765.65,1.22821,1.71045,1.36787,0.43737,0.63277,0.58769,0.44443,1.00987,1.47771,1.34591,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
30,790.12,1.21408,1.69744,1.35851,0.43691,0.62392,0.55841,0.42394,1.02015,1.5499,1.3678,0.0278467,0.00928225,0.0278467,0.00928225,0.0278467,0.00928225,0.0278467,0.00928225
31,814.42,1.19404,1.68763,1.343,0.49939,0.62966,0.58795,0.45053,0.9958,1.45232,1.3367,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
32,838.626,1.207,1.70746,1.34941,0.53778,0.51831,0.54589,0.4143,1.00016,1.50852,1.35438,0.0276982,0.00923275,0.0276982,0.00923275,0.0276982,0.00923275,0.0276982,0.00923275
33,862.646,1.19527,1.63664,1.3462,0.48592,0.59841,0.58327,0.4498,0.97932,1.47402,1.33231,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
